NE-2019-1211530,MME-19-149Pv,NER19-01933,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Boothbay Harbor,Lincoln,ME,Atlantic Ocean,Mouse Island,43.833489,decimal degrees,actual,-69.643595,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,Harassment-people petting seal,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2019-MAY-21,2019,MAY,21,Swimming,,,Alive,,2019-Jun-25,2019,JUN,25,Alive,Y,,,,,,Y,,,,,Mystic Aquarium,,,,,Y,,,,Y,,,,,,,,,MALE,PUP/CALF,,,74.5,cm,actual,9.2,kg,actual,Y,On file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,"Coming and going from dock of private island over a few days, island not easy to access",,dwalk,,,,69472,N,N,2019-MAY-29,Marine Mammals of Maine,81,cm,actual,9.2,kg,actual,,,,,N,N,Y,archive samples,,,,,,,,,92,cm,actual,29.4,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,Y,2019-NOV-27,Mystic Aquarium,"capture myopathy, neuroaxonal dystrophy",acute death during routine exam,Y,complete,fresh,2019-NOV-27,Dr. Michelle Rivard,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,Animal crashed acutely during a routine physical exam and flipper tagging. Was euthanized after animal was unresponsive to emergency treatments.,,69471,jschuh,43623.39356,,,1,GE-2018-0005,,Beach or Land,35,422,Boothbay Harbor,1509,Mouse Island,43.833489,,-69.643595,actual,Internet,,,,,,,,,,,,N,Uncertain (CBD),N,N,,,,,,,,,"Unusual Mortality Event, Pre-UME Investigation",Yes,1005,,0
NE-2019-1211530,MME-19-149Pv,NER19-01933,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Boothbay Harbor,Lincoln,ME,Atlantic Ocean,Mouse Island,43.833489,decimal degrees,actual,-69.643595,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,Harassment-people petting seal,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2019-MAY-21,2019,MAY,21,Swimming,,,Alive,,2019-Jun-25,2019,JUN,25,Alive,Y,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,Y,,,,,,,,,MALE,PUP/CALF,,,74.5,cm,actual,9.2,kg,actual,Y,On file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,"Coming and going from dock of private island over a few days, island not easy to access",,dwalk,,,,69471,N,N,2019-MAY-27,Marine Mammals of Maine,74.5,cm,actual,9.2,kg,actual,,,,,N,N,N,,Admit PDV serum/Positive at 1:128,,,,,,,,74.5,cm,actual,9.2,kg,actual,Pup/Calf,notApplicable,Y,2019-MAY-29,Mystic Aquarium,,N,,,,,N,N,,,,,N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,GE-2018-0005,,Beach or Land,35,422,Boothbay Harbor,1509,Mouse Island,43.833489,,-69.643595,actual,Internet,,,,,,,,,,,,N,Uncertain (CBD),N,N,,,,,,,,,"Unusual Mortality Event, Pre-UME Investigation",Yes,1005,,0
NE-2019-1211533,MME-19-161Pv,NER19-01936,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,South Bristol,Lincoln,ME,Atlantic Ocean,2118 Route 129,43.864,decimal degrees,actual,-69.5612,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2019-MAY-28,2019,MAY,28,Beach or Land,,,Alive,Y,2019-MAY-28,2019,MAY,28,Alive,Y,,,,,,Y,,,,,Mystic Aquarium,,,,,Y,,,,Y,,,,,,,,,FEMALE,PUP/CALF,,,66,cm,actual,8,kg,actual,Y,On file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,69478,N,N,2019-JUN-02,Marine Mammals of Maine,75,cm,actual,8,kg,actual,,,,,N,N,Y,archive samples,,,,,,,,,74,cm,actual,8.4,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,Y,2019-JUN-26,Mystic Aquarium,megaesophagus,severe pneumonia and pleuritis,Y,complete,fresh,2019-JUN-27,Dr. Michelle Rivard,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,69477,lwyeth,43623.42264,,,1,GE-2018-0005,,Beach or Land,35,422,South Bristol,1509,2118 Route 129,43.864,actual,-69.5612,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,"Unusual Mortality Event, Pre-UME Investigation",Yes,1005,,0
NE-2019-1211533,MME-19-161Pv,NER19-01936,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,South Bristol,Lincoln,ME,Atlantic Ocean,2118 Route 129,43.864,decimal degrees,actual,-69.5612,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2019-MAY-28,2019,MAY,28,Beach or Land,,,Alive,Y,2019-MAY-28,2019,MAY,28,Alive,Y,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,Y,,,,,,,,,FEMALE,PUP/CALF,,,66,cm,actual,8,kg,actual,Y,On file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,69477,N,N,2019-MAY-29,Marine Mammals of Maine,66,cm,actual,8,kg,actual,,,,,N,N,N,,Admit PDV serum/Negative,,,,,,,,66,cm,actual,8,kg,actual,Pup/Calf,notApplicable,Y,2019-JUN-03,Mystic Aquarium,,N,,,,,N,N,,,,,N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,GE-2018-0005,,Beach or Land,35,422,South Bristol,1509,2118 Route 129,43.864,actual,-69.5612,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,"Unusual Mortality Event, Pre-UME Investigation",Yes,1005,,0
NE-2019-1218885,MME-19-164Pv,NER19-02933,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,East Boothbay Harbor,Lincoln,ME,Atlantic Ocean,Bigelow Labs,43.860574,decimal degrees,actual,-69.57847,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,,,,,,,2019-MAY-29,2019,MAY,29,Beach or Land,,,Fresh Dead,Y,2019-MAY-30,2019,MAY,30,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,SUBADULT,Y,,123,cm,actual,,,notMeasured,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,fresh,2019-May-30,2019,MAY,30,MMoME,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Beach or Land,35,422,East Boothbay Harbor,1509,Bigelow Labs,43.860574,actual,-69.57847,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
NE-2019-1211795,MME-19-168Pv,NER19-01942,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Kennebunkport,York,ME,Atlantic Ocean,Goose Rocks Beach,43.398159,decimal degrees,actual,-70.410815,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,Harassment-people standing over seal for photos,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,,,,,2019-MAY-31,2019,MAY,31,Beach or Land,,,Alive,Y,2019-MAY-31,2019,MAY,31,Alive,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,,,,,,,,,,MALE,PUP/CALF,,,83,cm,actual,12.2,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,"Very fresh umbilical, estimated to be less than 24 hours old, non-visual, hyper-reactive to stimuli, head very large and abnormally shaped",,dwalk,,,,69625,N,N,2019-MAY-31,Marine Mammals of Maine,83,cm,actual,12.2,kg,actual,,,,,N,N,N,,Admit PDV serum/Positive at 1:32,,,,,,,,83,cm,actual,12.2,kg,actual,Pup/Calf,notApplicable,Y,2019-JUN-12,Mystic Aquarium,,N,,,,,N,N,,,,,N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,GE-2018-0005,,Beach or Land,35,227,Kennebunkport,1509,Goose Rocks Beach,43.398159,actual,-70.410815,actual,Internet,,,,,,,,,,,,N,Improbable,N,N,,,,,,,,,"Unusual Mortality Event, Pre-UME Investigation",Yes,1005,,0
NE-2019-1211795,MME-19-168Pv,NER19-01942,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Kennebunkport,York,ME,Atlantic Ocean,Goose Rocks Beach,43.398159,decimal degrees,actual,-70.410815,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,Harassment-people standing over seal for photos,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,,,,,2019-MAY-31,2019,MAY,31,Beach or Land,,,Alive,Y,2019-MAY-31,2019,MAY,31,Alive,,,,,,,Y,,,,,Mystic Aquarium,,,,,Y,,,,,,,,,,,,,MALE,PUP/CALF,,,83,cm,actual,12.2,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,"Very fresh umbilical, estimated to be less than 24 hours old, non-visual, hyper-reactive to stimuli, head very large and abnormally shaped",,dwalk,,,,69626,N,N,2019-JUN-12,Marine Mammals of Maine,88.5,cm,actual,11.6,kg,actual,,,,,N,N,Y,archive samples,,,,,,,,,89.5,cm,actual,20.2,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,Y,2019-SEP-12,Mystic Aquarium,hydrocephalus,congenital neurodevelopmental anomalies,Y,complete,fresh,2019-SEP-12,Dr. Michelle Rivard,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,69625,lwyeth,43630.4613,,,1,GE-2018-0005,,Beach or Land,35,227,Kennebunkport,1509,Goose Rocks Beach,43.398159,actual,-70.410815,actual,Internet,,,,,,,,,,,,N,Improbable,N,N,,,,,,,,,"Unusual Mortality Event, Pre-UME Investigation",Yes,1005,,0
NE-2019-1218512,MME-19-196Pv,NER19-02858,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Cape Elizabeth,Cumberland,ME,Atlantic Ocean,2 Lights Lobster Shack,43.5641,decimal degrees,actual,-70.199,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2019-JUN-18,2019,JUN,18,Beach or Land,,,Alive,Y,2019-JUN-18,2019,JUN,18,Alive,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,Y,,,,,,,,,FEMALE,PUP/CALF,,,80,cm,actual,9.6,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,Likely HI but could not confirm,,dwalk,,dwalk,43788.3995,72076,N,N,2019-JUN-18,Marine Mammals of Maine,80,cm,actual,9.6,kg,actual,,2019-SEP-12,2019-SEP-04,,N,N,N,,,,,,,,,,80,cm,actual,9.6,kg,actual,Pup/Calf,releasable,N,,,,N,,,,,N,N,,,,,N,,,,,Y,2019-SEP-22,United States,Sagadahoc/ME,Phippsburg,Popham Beach State Park,43.735795,decimal degrees,-69.794379,decimal degrees,Singly,N,,,,,,,,,,,N,N,Y,9,,,Blue,,,Plastic,,,RR,,,Y,N,N,N,N,N,N,,,,,dwalk,,,,2,,,Beach or Land,35,212,Cape Elizabeth,1509,2 Lights Lobster Shack,43.5641,actual,-70.199,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
NE-2019-1219085,MME-19-253Pv,NER19-03013,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Biddeford,York,ME,Atlantic Ocean,East End Sanctuary,43.442859,decimal degrees,actual,-70.339874,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,,,,,2019-JUL-16,2019,JUL,16,Beach or Land,,,Alive,Y,2019-JUL-16,2019,JUL,16,Alive,Y,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,FEMALE,PUP/CALF,,,78.5,cm,actual,11.3,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,N,,,,,,,,"weanling, quiet but alert and vocal when approached, severely swollen right rear flipper, not able to collect due to time of day. 7/18 restranded on Orcutte Boulevard, Biddeford, caller reported bloody hind area, died before volunteer arrived, confirmed same seal that stranded the day before, collected for necropsy.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Beach or Land,35,227,Biddeford,1509,East End Sanctuary,43.442859,actual,-70.339874,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
NE-2019-1218477,MME-19-257Pv,NER19-02836,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Kennebunk,York,ME,Atlantic Ocean,Goochs Beach,43.34741,decimal degrees,actual,-70.481364,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,,,,,2019-JUL-18,2019,JUL,18,Beach or Land,,,Fresh Dead,Y,2019-JUL-18,2019,JUL,18,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,PUP/CALF,Y,,84.5,cm,actual,11.7,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,N,,,,,,,,"Recently died and washed up on beach, no significant findings other than being very thin.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Beach or Land,35,227,Kennebunk,1509,Goochs Beach,43.34741,actual,-70.481364,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
NE-2019-1219091,MME-19-277Pv,NER19-03019,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Phippsburg,Sagadahoc,ME,Atlantic Ocean,Bald Head Rd,43.709985,decimal degrees,actual,-69.85037,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,Harassment-moved from tide line by public in a stretcher,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,,,,,2019-JUL-30,2019,JUL,30,Beach or Land,,,Alive,Y,2019-JUL-30,2019,JUL,30,Alive,,,,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,,,,FEMALE,PUP/CALF,,,80,cm,actual,12.5,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,fresh,2019-Jul-31,2019,JUL,31,MMoME,"potential pox lesions, some lesions ruptured with maggots, occular dishcharge, diarrhea, lethargic, died shortly after collection and diagnostics.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Beach or Land,35,659,Phippsburg,1509,Bald Head Rd,43.709985,actual,-69.85037,actual,Internet,,,,,2,,,,,,,N,Probable,N,N,,,,,,,,,,,,,0
SSC-19-150 Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSC-19-154 Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2019-1219842,MME-19-329Pv,NER19-03179,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Biddeford,York,ME,Atlantic Ocean,Timber Point,43.405324,decimal degrees,actual,-70.395546,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,,,,,2019-AUG-24,2019,AUG,24,Beach or Land,,,Alive,Y,2019-AUG-24,2019,AUG,24,Alive,,,,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,FEMALE,YEARLING,Y,,87,cm,actual,11,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,frozen,2019-Nov-21,2019,NOV,21,Marine Mammals of Maine,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Beach or Land,35,227,Biddeford,1509,Timber Point,43.405324,actual,-70.395546,actual,Internet,,,,,2,,,,,,,N,,N,N,,,,,,,,,,,,,0
NE-2019-1218691,MME-19-344Pv,NER19-02912,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Kennebunkport,York,ME,Atlantic Ocean,Colony Beach,43.34715,decimal degrees,actual,-70.475141,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,"Harassment-people poured water over seal, forced back in water",,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2019-SEP-02,2019,SEP,2,Beach or Land,,,Alive,Y,2019-SEP-2,2019,SEP,2,Alive,Y,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,Y,,,,,,,,,,,,MALE,YEARLING,,,86.5,cm,actual,15.2,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,"Forced back in water as volunteers arrived, restranded on Goochs Beach in Kennebunk 9/4/2019",,dwalk,,,,72107,N,N,2019-SEP-04,Marine Mammals of Maine,86.5,cm,actual,15.2,kg,actual,,,,,N,N,N,,Admit PDV serum/Negative,,,,,,,,86.5,cm,actual,15.2,kg,actual,Yearling,,N,,,,N,,,,,Y,N,2019-SEP-04,Marine Mammals of Maine,,,Y,limited,fresh,,Allied Whale at the College of the Atlantic``,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,,,Beach or Land,35,227,Kennebunkport,1509,Colony Beach,43.34715,actual,-70.475141,actual,Internet,,,,,,,,,,,,N,Improbable,N,N,,,,,,,,,,,,,0
NE-2019-1218694,MME-19-353Pv,NER19-02914,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,,York,ME,Atlantic Ocean,Swimming,43.4715923,decimal degrees,actual,-70.3613772,decimal degrees,actual,Internet,,,,,,,,,,Y,N,N,Y,,N,,,,,,,,,,,Y,At MME,Y,,Y,,,,,Y,,,,,,2019-SEP-08,2019,SEP,8,Swimming,,,Alive,Y,2019-SEP-8,2019,SEP,8,Alive,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,Y,,,,,,,,Y,Human interaction,,,MALE,YEARLING,,,93,cm,actual,18.1,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,"Reported by lobster fishermen, monofilament coming out of seal's mouth, monofilament line wrapped around lobster gear line being hauled by fishermen. Marine patrol assisted with removing seal from gear",,dwalk,,,,72111,N,N,2019-SEP-08,Marine Mammals of Maine,93,cm,actual,18.1,kg,actual,,,,,N,N,N,,Admit PDV serum/Negative,,,,,,,,93,cm,actual,18.1,kg,actual,Yearling,notApplicable,N,,,,N,,,,,Y,N,2019-SEP-11,Marine Mammals of Maine,"Fishing hook perforated stomach, peritonitis",,Y,complete,fresh,2019-OCT-13,Marine Mammals of Maine,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,,,Swimming,35,227,,1509,Swimming,43.4715923,actual,-70.3613772,actual,Internet,,,,,,,,,,,,N,Probable,N,N,,,,,,,,,,,,,0
SSC-19-173 Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2019-1218698,MME-19-380Pv,NER19-02918,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Ogunquit,York,ME,Atlantic Ocean,Ogunquit Beach,43.250052,decimal degrees,actual,-70.596002,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2019-OCT-01,2019,OCT,1,Beach or Land,,,Alive,Y,2019-OCT-1,2019,OCT,1,Alive,Y,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,,,,,,,,,,MALE,YEARLING,,,93,cm,actual,12.2,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,"Back in water when volunteer responded 10/1/19, restranded 10/4/2019 in Perkins Cove, Ogunquit Maine in late evening just before dark, then again 10/6/2019 on Wells Beach.",,dwalk,,,,72117,N,N,2019-OCT-06,Marine Mammals of Maine,93,cm,actual,12.2,kg,actual,,,,,N,N,N,,,,,,,,,,93,cm,actual,12.2,kg,actual,Yearling,notApplicable,N,,,,N,,,,,Y,Y,2019-OCT-10,Marine Mammals of Maine,Pneumonia,,N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,,,Beach or Land,35,227,Ogunquit,1509,Ogunquit Beach,43.250052,actual,-70.596002,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
NE-2019-1218697,MME-19-381Pv,NER19-02917,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Biddeford,York,ME,Atlantic Ocean,Bath House Beach,43.442592,decimal degrees,actual,-70.346279,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2019-OCT-01,2019,OCT,1,Beach or Land,,,Alive,Y,2019-Oct-02,2019,OCT,2,Alive,Y,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,Y,,,,,,,,,,,,MALE,YEARLING,,,89,cm,actual,12.9,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,dwalk,,,,72116,N,N,2019-OCT-02,Marine Mammals of Maine,89,cm,actual,12.9,kg,actual,,,,,N,N,N,,,,,,,,,,89,cm,actual,12.9,kg,actual,Yearling,notApplicable,N,,,,N,,,,,Y,N,2019-OCT-06,Marine Mammals of Maine,,,N,,frozen,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,,,Beach or Land,35,227,Biddeford,1509,Bath House Beach,43.442592,actual,-70.346279,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,0
SSC-19-175 Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
